,ITEM
0,MASTER CHEF ECUADOR 4T
1,IMPACTOS 2022
2,REPRISE MUNDIAL CATAR 2022
3,DIA A DIA (D)
4,LARGOMETRAJE I (S-D)
5,RESUMEN ANUAL DE DEPORTES
6,TNV. RECIEN DIVORCIADA
7,TNV. LALAS SPA
8,LARGOMETRAJE V (S-D)
9,TNV. HERMANAS DE SANGRE
10,TE VEO ECUADOR
11,TNV. PA QUERERTE
12,BARRA PROGRAMACION (TA)
13,DEPORTE TOTAL (S-D)
14,BARRA NOVELAS (TA)
15,TNV. YO SOY BETTY LA FEA
16,BARRA SABADO (TA)
17,LARGOMETRAJE (T) 2
18,TNV. CAFE CON AROMA DE MUJER
19,24 HORAS
20,NOTICIAS (S-D)
21,LARGOMETRAJE VI (S-D)
22,BARRA FERIADO
23,BARRA PROGRAMACION (ECV)
24,LARGOMETRAJE (T) 12
25,EL CANAL DE LA FAMILIA ECUATORIANA
26,TNV. MIRADA DE ANGEL
27,TNV. TE LA DEDICO
28,TNV. CONTRATO MATRIMONIAL
29,TNV. MIRADA DE MUJER
30,EL AFTER
31,FELICES FIESTAS
32,TELEAMAZONAS JUNTO AL ECUADOR
33,24 HORAS (S-D)
34,24 HORAS AL INSTANTE
35,BARRA NOCHE (L-V)
36,AMERICA VIVE
37,CANAL OFICIAL QATAR 2022
38,BARRA MAÑANA (TA)
39,BARRA TARDE (TA)
40,SOY YO 6T.
41,PASAPORTE A LA GLORIA
42,SIMILAC 3
43,CINE EN FAMILIA (S-D)
44,BARRA DOMINGO (TELEAMAZONAS)
45,EL EXTRAORDINARIO MUNDO DE LA SALUD
46,TNV. YO NO CREO EN HOMBRES
47,BARRA PROGRAMACION OROMAR TV
48,24 HORAS EDICION ESPECIA III(S
49,HORA 25
50,CINE EN CASA (S-D)
51,NOTICIAS DE LA MAÑANA
52,OPCION 2023
53,BARRA 24 DE DICIEMBRE
54,NOTICIAS OROMAR
55,24 HORAS I ENTREVISTAS
56,TNV. CAFE CON AROMA DE MUJER(2023)
57,MASTER CHEF ECUADOR 3T
58,EXTRAORDINARIO MUNDO DE LA SALUD
59,TNV. EL HADA DE LAS PESAS
60,TNV. NUEVA NOVIA
61,TNV. PEDRO EL ESCAMOSO
62,LARGOMETRAJE (T) 4
63,BARRA DOMINGO TARDE
64,LARGOMETRAJE (T) 3
65,LARGOMETRAJE VII (S-D)
66,LARGOMETRAJE (T) 11
67,RAW I (S-D)
68,SMACK DOWN
69,LA GRAN AVENTURA DEL CINE (S-D)
70,LARGOMETRAJE (T) 13
71,LARGOMETRAJE III (S-D)
72,LARGOMETRAJE (T) 6
73,CONTROL
74,TELEAMAZONAS.COM
75,TNV. BETTY EN NY
76,TELEAMAZONAS EN DIGITAL
77,LARGOMETRAJE (T) 1
78,YO ME LLAMO 6T
79,CAMPEONATO NACIONAL DE RUTA 2023
80,TARDE CAMARATA
81,FUTBOL(AMI): U.CATOLICA-M RUNA
82,TNV. EL SECRETARIO
83,LARGOMETRAJE II
84,EL SECRETO DE SELENA
85,SINFONIA DE MOTORES
86,TNV. SUBETE A MI MOTO
87,LA CATEDRAL DEL MAR (S-D)
88,TNV. BELLEZA VERDADERA
89,TNV. SILVANA SIN LANA
90,LARGOMETRAJE (T) 7
91,LARGOMETRAJE (T) 8
92,3 FAMILIAS (R)
93,BARRA DOMINGO NOCHE (S-D)
94,YO ME LLAMO 5T
95,TNV. EL CARTEL DE LOS SAPOS EL ORIGEN
